,id,rated,created_at,last_move_at,turns,white_id,white_rating,black_id,black_rating,moves
0,rIg6CXFI,True,1499950000000.0,1499950000000.0,104,islam01,1331,hido,1746,e4 e5 Nc3 Nf6 Nf3 Nc6 Bb5 Bb4 Bxc6 dxc6 Nxe5 Bxc3 dxc3 Qxd1+ Kxd1 Nxe4 Be3 Bf5 a3 f6 Nf3 O-O-O+ Kc1 Rhe8 b3 Nxc3 Kb2 Nb5 a4 Nd6 Bxa7 b6 a5 Kb7 axb6 cxb6 Nd2 Nb5 Nc4 Nxa7 Ra2 Re2 Rha1 Rxc2+ Kb1 Rxa2+ Kxa2 Nb5 Kb2 Bg6 Ra4 Re8 Kc1 Re2 Kd1 Rxf2 Ne3 Rb2 Rb4 Bf7 Re4 Bxb3+ Kc1 Re2 Re7+ Ka6 h3 f5 Re8 f4 Ra8+ Na7 Ng4 Rxg2 Ne5 Bd5 Kd1 Rh2 Rf8 g5 Nd3 Rxh3 Nb4+ Kb5 Nxd5 cxd5 Rf5 Kc4 Rxg5 Nb5 Rg4 Rf3 Rh4 Rg3 Rxf4+ Nd4 Rh4 b5 Rxh7 b4 Rc7+ Kd3 Rb7 Rg1#
1,5kY5WUxA,True,1494430000000.0,1494430000000.0,91,whitegaba,1551,samuelpro,1142,e4 e5 Qh5 Qf6 Be2 Bc5 Nf3 g6 Qh4 g5 Qxg5 h6 Qxf6 Nxf6 O-O Ng4 h3 Bxf2+ Rxf2 Nxf2 Kxf2 d6 Bc4 c6 d4 d5 Bb3 dxe4 Nxe5 Rf8 Bxh6 f6 Bxf8 fxe5 Bc5 exd4 Bxd4 Na6 Nd2 Bd7 Nxe4 Rd8 Nf6+ Kf8 Nxd7+ Rxd7 Be3 b5 Be6 Rf7+ Bxf7 Kxf7 Bxa7 c5 Rf1 c4 Kg3+ Ke7 h4 Nb4 Bc5+ Kd7 Bxb4 c3 Bxc3 b4 Bxb4 Kc8 h5 Kd8 h6 Ke8 h7 Kd8 h8=Q+ Kd7 Qh6 Ke8 Qf8+ Kd7 Rd1+ Ke6 Qe8+ Kf6 Rf1+ Kg7 Qf8+ Kg6 Qf6+ Kh5 Rf5#
2,hQLKJ68q,True,1489940000000.0,1489940000000.0,93,meccanoidg15,2209,tukipenda,2193,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 Be3 Nc6 f3 e6 Qd2 Be7 O-O-O Qc7 Kb1 b5 g4 b4 Nce2 Ne5 Nc1 Nc4 Bxc4 Qxc4 g5 Nd7 h4 Bb7 h5 e5 Nf5 g6 Nxe7 d5 Nxd5 Rc8 Nxb4 Qb5 Nd5 Qc4 Rh2 f5 gxf6 Kf7 Nd3 Bxd5 exd5 Rb8 hxg6+ hxg6 Rxh8 Rxh8 Nf2 Nxf6 b3 Qc7 Ne4 Nd7 f4 Rh4 Ng5+ Kg8 d6 Qc6 fxe5 Rg4 Qh2 Nf8 Rh1 Rxg5 Bxg5 Kf7 Rf1+ Ke6 Rxf8 a5 a4 Qe4 Rf6+ Kd5 d7 Qe1+ Bc1 Kc5 d8=Q Qh4 Qxh4 g5 Qc4#
3,JMejEQFl,True,1473190000000.0,1473200000000.0,149,zmey65,2014,rezamoghimi2020,1610,e4 e5 Nf3 d6 d4 f5 dxe5 fxe4 Ng5 h6 Qh5+ Kd7 Bb5+ c6 e6+ Kc7 Qf7+ Qe7 Qxe7+ Bxe7 Nf7 Rh7 Bc4 d5 Bb3 Bxe6 Bf4+ Kd7 Ne5+ Ke8 Ng6 Bf7 Nxe7 Kxe7 O-O Nd7 Nc3 Ngf6 f3 g5 Bg3 exf3 Rae1+ Kf8 Rxf3 Bh5 Bd6+ Kf7 Rf2 Re8 Ref1 Rhh8 Bxd5+ cxd5 Nxd5 Re6 Bb4 Kg7 Bc3 Rf8 h3 Be2 Re1 Bc4 Rxe6 Bxd5 Re7+ Rf7 Re1 Bxa2 b3 Kg6 Ra1 Ne4 Rxf7 Kxf7 Be1 Bxb3 cxb3 a6 Rd1 Ndc5 b4 Nb3 Rd7+ Ke6 Rxb7 Kf5 Rb6 Nd4 Rxa6 Ne2+ Kf1 N4g3+ Bxg3 Nxg3+ Kf2 g4 hxg4+ Kxg4 Rxh6 Nf5 Rh8 Nd4 Rd8 Nc2 b5 Nb4 b6 Nc6 Rg8+ Kf5 b7 Ke6 b8=Q Nxb8 Rxb8 Kf5 Kf3 Kg5 Rg8+ Kh4 g4 Kh3 g5 Kh4 g6 Kh5 g7 Kh6 Kf4 Kh7 Ra8 Kxg7 Kg5 Kf7 Kf5 Ke7 Ra6 Kd7 Ke5 Kc7 Kd5 Kd7 Ra7+ Ke8 Kd6 Kd8 Ra8#
4,04B0N7Xa,True,1502512380980.0,1502513182523.0,74,odalv,1356,khemar,1939,e4 e6 e5 d5 d4 c5 Bb5+ Nc6 Nf3 Qb6 Nc3 cxd4 Nxd4 Bd7 Be3 Qc7 Bf4 Nge7 O-O Ng6 Bg3 Ncxe5 Bxd7+ Qxd7 Re1 Nc6 Ndb5 a6 Nd4 Be7 Nf5 exf5 Nxd5 O-O Qf3 f4 Bxf4 Nxf4 Nxf4 Bf6 Rad1 Qf5 Rd5 Qxc2 h3 Rfe8 Red1 Rab8 Qg3 Be5 R5d2 Qf5 Rd5 Qxf4 Qd3 Qh2+ Kf1 Qh1+ Ke2 Bf6+ Kd2 Qxg2 Kc1 Nb4 Qc4 Rbc8 Rc5 Rxc5 Qxc5 Nc6 Qd5 Qxf2 Qd7 Qxb2#
5,AmudwqU7,True,1490390000000.0,1490390000000.0,42,glzrchess,1299,thesnare,1376,d3 d5 e4 d4 Nf3 Bg4 c3 c5 Be2 g6 cxd4 cxd4 O-O Bxf3 Bxf3 e5 Nd2 Nc6 Nc4 Qh4 Qa4 h5 Nd6+ Bxd6 g3 Qf6 Qb3 Qxf3 Qxb7 Rd8 Qxc6+ Kf8 Bg5 Be7 Bxe7+ Nxe7 Qc5 h4 g4 h3 Rfc1 Qg2#
6,HhMYxLAh,True,1488200867748.0,1488201511184.0,63,lemarktwainkie,1474,penelopa000,1337,e4 c5 f4 d6 Nf3 Nf6 e5 Ng4 d4 cxd4 Nxd4 Qb6 exd6 Qxd6 h3 Nf2 Kxf2 Qxf4+ Bxf4 e6 Nc3 Bc5 Be3 O-O Na4 Be7 Qf3 e5 Nf5 Bd8 Rd1 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nc5 Bxf3 gxf3 Rc8 Rd7 b6 Nb7 Rxc2+ Kg3 Bf6 Rb1 e4 fxe4 Be5+ Bf4 Bxf4+ Kxf4 Rf2+ Ke5 Re8+ Ne7+ Rxe7+ Rxe7 f6+ Ke6 Re2 Re8#
7,QsXoSaql,True,1468620000000.0,1468620000000.0,37,d_war,1584,pmagaji,1545,e4 e5 Nf3 Nc6 Nc3 Nf6 d4 Nxd4 Nxd4 exd4 Qxd4 Ng4 Be2 c5 Qd5 Qh4 Bxg4 Qxg4 e5 Be7 h3 Qf5 Nb5 O-O Nd6 Bxd6 Qxd6 Re8 O-O Rxe5 Be3 Rd5 Qe7 Re5 Qd8+ Re8 Qxe8#
8,3RT1kKyr,False,1496337754540.0,1496339993642.0,48,hamza019,1500,lbringer,1663,e4 c5 Bc4 e6 b3 Nf6 e5 d5 Bb5+ Nfd7 Nf3 a6 Bd3 Nc6 c4 Ndxe5 Be2 g6 Bb2 Bg7 Qc2 Nb4 Qc1 Nxf3+ gxf3 d4 a3 d3 axb4 e5 Bxd3 Qxd3 Qc3 Bf5 bxc5 Rc8 Qb4 Qxf3 Rf1 Qe4+ Kd1 Bg4+ Kc1 Bf5 Qa4+ Kf8 Nc3 Qc2#
9,TdvWu2Vv,True,1412863290996.0,1412863323768.0,6,pooperic,1139,denisoc,1283,g4 e5 f3 c6 f4 Qh4#
