id;region_id;area_id;city_id;street_id;shortname_region;formalname_region;shortname_area;formalname_area;shortname_city;formalname_city;shortname_street;formalname_street;house_number;building;block;letter;address;houseguid;management_organization_id;built_year;exploitation_start_year;project_type;house_type;is_alarm;method_of_forming_overhaul_fund;floor_count_max;floor_count_min;entrance_count;elevators_count;energy_efficiency;quarters_count;living_quarters_count;unliving_quarters_count;area_total;area_residential;area_non_residential;area_common_property;area_land;parking_square;playground;sportsground;other_beautification;foundation_type;floor_type;wall_material;basement_area;chute_type;chute_count;electrical_type;electrical_entries_count;heating_type;hot_water_type;cold_water_type;sewerage_type;sewerage_cesspools_volume;gas_type;ventilation_type;firefighting_type;drainage_type
9351131;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;;Респ;Татарстан;;;г;Казань;;;13.апр;;;;Респ. Татарстан, г. Казань, д. 13-4;4a43d2f8-a1c1-46f4-9c1c-4b700b7baf3d;;;;;Не заполнено;Нет;Не заполнено;;;;;Не заполнено;0;;;;;;;;;498;498;;Не заполнено;Не заполнено;Не заполнено;;Не заполнено;;Не заполнено;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;;Не заполнено;Не заполнено;Не заполнено;Не заполнено
9351130;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;;Респ;Татарстан;;;г;Казань;;;13.май;;;;Респ. Татарстан, г. Казань, д. 13-5;76ee27c0-b02b-439e-968a-3b7899b66392;;;;;Не заполнено;Нет;Не заполнено;;;;;Не заполнено;0;;;;;;;;;498;498;;Не заполнено;Не заполнено;Не заполнено;;Не заполнено;;Не заполнено;;Не заполнено;Не заполнено;Не заполнено;Не заполнено;;Не заполнено;Не заполнено;Не заполнено;Не заполнено
6851637;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;f19aa897-d497-4f37-8e67-30a90ceb7184;Респ;Татарстан;;;г;Казань;ул;10 лет Октября (Отары);9;;;;Респ. Татарстан, г. Казань, ул. 10 лет Октября (Отары), д. 9;74fce8ed-0404-465b-a03a-ab914a441db5;8918138;1984;1984;индивид.;Многоквартирный дом;Нет;На счете регионального оператора;3;3;2;0;Не присвоен;24;24;0;1311,5;1311,5;0;0;92145;0;500;500;0;Ленточный;Железобетонные;Каменные, кирпичные;4856;Отсутствует;0;Центральное;1;Центральное;Отсутствует;Центральное;Отсутствует;0;Отсутствует;Приточно-вытяжная вентиляция;Отсутствует;Наружные водостоки
6851628;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;c8fe3e97-84f9-4233-862a-0dabb1249e33;Респ;Татарстан;;;г;Казань;ул;1 Мая;1;;;;Респ. Татарстан, г. Казань, ул. 1 Мая, д. 1;be417ba9-2a96-415c-afb9-cdfa3405dcff;6739292;1929;1929;Неопределен;Многоквартирный дом;Нет;На счете регионального оператора;2;2;2;0;E;8;8;0;586,1;496,1;0;0;3054;0;500;500;;Ленточный;Деревянные;Каменные, кирпичные;0;Отсутствует;0;Центральное;1;Центральное;Отсутствует;Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Отсутствует
6851631;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;c8fe3e97-84f9-4233-862a-0dabb1249e33;Респ;Татарстан;;;г;Казань;ул;1 Мая;20;;;;Респ. Татарстан, г. Казань, ул. 1 Мая, д. 20;3ec9ca50-c847-412d-8c0d-827565b4c6fe;6739292;1930;1930;индивид.;Многоквартирный дом;Нет;На счете регионального оператора;3;3;4;0;C;25;24;1;1776,7;1634,3;8,8;0;30808;;499;499;;Ленточный;Деревянные;Каменные, кирпичные;0;Отсутствует;0;Центральное;1;Центральное;Центральное (закрытая система);Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
6851634;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;c8fe3e97-84f9-4233-862a-0dabb1249e33;Респ;Татарстан;;;г;Казань;ул;1 Мая;22;;;;Респ. Татарстан, г. Казань, ул. 1 Мая, д. 22;9a15425d-a961-4426-b1bd-1bc7b1f5e9f1;6739292;1932;1932;индивид.;Многоквартирный дом;Нет;На счете регионального оператора;3;3;4;0;C;24;24;0;1482,99;1423,09;0;0;229908;0;499;499;;Ленточный;Деревянные;Каменные, кирпичные;0;Отсутствует;0;Центральное;1;Центральное;Центральное (закрытая система);Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
6851655;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;0878e78f-4842-454f-9148-2afaa705c4fc;Респ;Татарстан;;;г;Казань;ул;25 Октября;02.июл;;;;Респ. Татарстан, г. Казань, ул. 25 Октября, д. 2/7;6786fe96-13a6-4756-888e-3e39b4e966f1;6739292;1968;1968;1-447 С-40;Многоквартирный дом;Нет;На счете регионального оператора;5;5;4;0;B;81;80;1;3440;3193,6;161,9;161,9;34203;0;500;500;;Сборный;Железобетонные;Каменные, кирпичные;0;Отсутствует;0;Центральное;1;Центральное;Отсутствует;Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
6851658;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;0878e78f-4842-454f-9148-2afaa705c4fc;Респ;Татарстан;;;г;Казань;ул;25 Октября;4;;;;Респ. Татарстан, г. Казань, ул. 25 Октября, д. 4;107c05bd-4e91-4eb6-a2a9-2359215aa056;6739292;1967;1967;1-447 С-43;Многоквартирный дом;Нет;На счете регионального оператора;5;5;4;0;B;64;64;0;3253,7;2557,1;0;0;35855;0;500;500;;Сборный;Железобетонные;Каменные, кирпичные;85;Отсутствует;0;Центральное;1;Центральное;Центральное (закрытая система);Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
6851661;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;0878e78f-4842-454f-9148-2afaa705c4fc;Респ;Татарстан;;;г;Казань;ул;25 Октября;6;;;;Респ. Татарстан, г. Казань, ул. 25 Октября, д. 6;a0324ec4-5ca7-49ac-9364-020b2ee3a07a;6739292;1966;1966;1-447 С-41;Многоквартирный дом;Нет;На счете регионального оператора;5;5;4;0;B;80;80;0;3122,1;3122,1;0;;32155;0;500;500;;Ленточный;Железобетонные;Каменные, кирпичные;0;Отсутствует;0;Центральное;1;Центральное;Отсутствует;Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
6851664;0c089b04-099e-4e0e-955a-6bf1ce525f1a;;93b3df57-4c89-44df-ac42-96f05e9cd3b9;0878e78f-4842-454f-9148-2afaa705c4fc;Респ;Татарстан;;;г;Казань;ул;25 Октября;09.июл;;;;Респ. Татарстан, г. Казань, ул. 25 Октября, д. 9/7;02911266-01e5-4a0e-b3e0-9ace763edb24;6739292;1932;1932;индивид.;Многоквартирный дом;Нет;На счете регионального оператора;4;4;8;0;C;64;64;0;3628,3;3192,56;0;0;35855;0;500;500;;Отсутствует;Железобетонные;Каменные, кирпичные;;Отсутствует;0;Центральное;1;Центральное;Центральное (закрытая система);Центральное;Центральное;;Центральное;Вытяжная вентиляция;Отсутствует;Наружные водостоки
