OSM_ID;BUILDING;A_STRT;A_SBRB;A_HSNMBR;B_LEVELS;NAME
92033642;yes;улица Тази Гиззата;;26 к1;;
91856617;yes;;;;;
220006804;yes;Большая Красная улица;;51 к1;;
157683931;yes;;;;;
99038795;yes;улица Пушкина;;13/50;4;
104528792;apartments;Катановский переулок;;2А;;
173332941;yes;улица Гоголя;;4;2;
157683897;yes;улица Парижской Коммуны;;18 к1;;
143058762;yes;улица Баумана;;48;3;Большой драматический театр имени В. И. Качалова
111719060;yes;улица Тельмана;;26;;
83087730;university;Кремлёвская улица;;35;17;2-й корпус КФУ
104277482;yes;улица Бутлерова;;31;;
500009585;yes;;;;;
121535856;yes;улица Островского;;8/1;4;
104528785;apartments;Катановский переулок;;2;;
90178091;yes;улица Чернышевского;;5;;
83087733;yes;Кремлёвская улица;;35 к1;4;Научная библиотека им. Н. И. Лобачевского КФУ
225814375;yes;улица Нариманова;;14;3;
115079089;yes;улица Карла Маркса;;49А;2;
97554004;yes;улица Пушкина;;4;2;
191025379;apartments;улица Ульянова-Ленина;;19;;
243016969;yes;;;;;
157683923;yes;улица Михаила Худякова;;7 лит9;;
241601222;yes;улица Миславского;;13;2;
91856601;yes;;;;;
173332932;college;улица Гоголя;;2;2;
107060369;yes;;;;;
90251801;yes;;;;2;
111719079;yes;улица Тельмана;;24;;
90178075;yes;улица Миславского;;8/1;2;
90155408;yes;улица Рустема Яхина;;4Б;;
104536098;kindergarten;улица Ульянова-Ленина;;27;;ДОУ №189
91856625;yes;улица Лобачевского;;6;2;
90251761;yes;Большая Красная улица;;3;5;
231904977;yes;улица Тельмана;;17;;
362047239;yes;;;;;
105336438;apartments;Университетская улица;;12;4;
362047241;yes;;;;;
104424243;yes;улица Карла Маркса;;56/11;2;
157683906;yes;улица Михаила Худякова;;3;3;
454313149;yes;;;;;
378370848;residential;улица Лобачевского;;6;;
91856467;residential;улица Лобачевского;;8;;
143058761;yes;улица Кави Наджми;;3/9;;
104528777;yes;улица Бутлерова;;30;;Дом ученых
105155999;yes;улица Чернышевского;;2;3;
99038792;yes;улица Пушкина;;11;3;
115079093;yes;улица Карла Маркса;;49/13;2;
240803569;yes;Право-Булачная улица;;39/2;6;
91856584;yes;Университетская улица;;13;2;
119437959;yes;Московская улица;;64;2;
91641075;yes;Московская улица;;3;;Пирамида
111719097;yes;улица Касаткина;;25;;
90178071;yes;улица Баумана;;11;;
98534754;detached;Федосеевская улица;;31;;
158263521;yes;;;;;
301911375;yes;;;;;
111719073;yes;улица Касаткина;;31;;
104280736;yes;улица Маяковского;;26;;
90178080;yes;улица Карла Маркса;;9/15;2;
90178069;yes;улица Дзержинского;;6;3;
91856523;yes;;;;;
98534767;detached;;;;;
129285213;yes;;;;;
444741608;yes;;;;;
91856473;yes;Большая Красная улица;;23;;Управление ФСБ по РТ
104281618;yes;улица Щапова;;37;3;Театр Акт
105301849;yes;улица Николая Столбова;;1;;
251752738;school;улица Миславского;;8А/1;3;Академический лицей
98534763;detached;;;;;
91856466;yes;улица Карла Маркса;;32;;
111719053;yes;улица Касаткина;;11;;
378555515;construction;;;;;
233610520;yes;;;;1;
362047228;yes;;;;;
444741609;yes;;;;;Сувениры
81560113;yes;улица Рустема Яхина;;4;3;Московский
-1327402;university;Кремлёвская улица;;4/5;2;Институт геологии и нефтегазовых технологий КФУ
104280737;yes;улица Щапова;;18А;;
90178032;yes;улица Баумана;;13;;
98534711;detached;улица Набережная Казанки;;3;;
104280739;yes;улица Маяковского;;24;;
231904976;yes;улица Тельмана;;15;;
444741610;yes;;;;;
104424232;yes;улица Горького;;19/8;6;
111719078;yes;улица Касаткина;;19;2;
313340475;yes;улица Островского;;47;1;ХороShow
158178408;yes;;;;;
106312175;yes;;;;3;
362047233;yes;;;;;
89917026;yes;улица Карла Маркса;;29/14;2;
104528790;yes;улица Бутлерова;;30А;4;
97553999;yes;;;;2;
81560002;apartments;улица Гаяза Исхаки;;1;5;
104281617;yes;улица Щапова;;18;4;
130828016;yes;Большая Красная улица;;14/17;4;
81559980;yes;улица Бурхана Шахиди;;2/43;4;
105336374;yes;Профсоюзная улица;;23/12;2;
115079095;yes;Большая Красная улица;;53;2;
344547471;yes;;;;2;
92033651;yes;улица Чернышевского;;36/14;3;
104229355;school;улица Волкова;;3;3;
194903069;yes;;;;2;
220006794;yes;;;;;
111719061;yes;улица Тельмана;;18;;
313937145;yes;;;;1;
104277477;yes;улица Маяковского;;19;2;
240896545;yes;;;;;
90155348;yes;;;;;
143056751;yes;улица Островского;;10;3;
91856502;yes;улица Дзержинского;;27;4;
90251758;yes;;;;1;
106312164;yes;Лево-Булачная улица;;46;3;
115079109;yes;улица Гоголя;;15;4;
227222885;yes;улица Лобачевского;;10;;
253055367;yes;;;;;
444741611;yes;;;;;
281788820;yes;улица Мусы Джалиля;;14А;;
158178406;yes;;;;;
89916745;yes;Большая Красная улица;;34/16;;Баня №3
119437976;yes;Московская улица;;66А;;
157683911;yes;;;;;
182148883;yes;;;;;
104528795;apartments;Катановский переулок;;11;;
115079088;yes;улица Гоголя;;25А;5;
444741612;yes;;;;;
90178068;yes;улица Мусы Джалиля;;;;
97554008;yes;;;;;
416784474;yes;;;;;
105336425;commercial;Университетская улица;;14;3;
444741613;yes;;;;;
90178099;yes;улица Дзержинского;;1/8 лит3;2;
449595823;yes;улица Дзержинского;;3;2;
115079107;yes;улица Гоголя;;21;;
157683898;yes;;;;;
91856595;yes;улица Лобачевского;;10В;5;
94695638;apartments;Катановский переулок;;9;;
158263519;yes;улица Саммера;;6;;
